age,annual_income,loyalty_score,purchase_frequency,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases
25,45000,4.5,12,Male,Jewelry,Accessories,48,Louisiana,L,Red,Fall,3.3,Yes,Free Shipping,Yes,Yes,12,Debit Card,Annually
25,45000,4.5,12,Male,Shorts,Clothing,78,California,L,Yellow,Spring,4.0,Yes,Store Pickup,Yes,Yes,38,PayPal,Monthly
25,45000,4.5,12,Male,Scarf,Accessories,59,Michigan,S,Peach,Summer,4.7,Yes,Store Pickup,Yes,Yes,44,Venmo,Monthly
25,45000,4.5,12,Male,Shorts,Clothing,68,Alaska,XL,Red,Spring,4.8,Yes,Standard,Yes,Yes,45,Bank Transfer,Weekly
25,45000,4.5,12,Male,Pants,Clothing,90,Arkansas,XL,Indigo,Summer,4.5,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
25,45000,4.5,12,Male,T-shirt,Clothing,95,Maryland,L,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,5,Venmo,Annually
25,45000,4.5,12,Male,Belt,Accessories,29,New Mexico,L,Blue,Fall,4.9,Yes,Express,Yes,Yes,12,Credit Card,Fortnightly
25,45000,4.5,12,Male,Handbag,Accessories,21,Nevada,S,Gray,Spring,4.7,Yes,Store Pickup,Yes,Yes,30,PayPal,Fortnightly
25,45000,4.5,12,Male,Hoodie,Clothing,28,Illinois,L,Brown,Spring,4.9,Yes,Express,Yes,Yes,33,Cash,Every 3 Months
25,45000,4.5,12,Male,Jacket,Outerwear,65,Maine,M,Magenta,Fall,4.4,Yes,Free Shipping,Yes,Yes,10,Venmo,Every 3 Months
25,45000,4.5,12,Male,T-shirt,Clothing,89,New York,L,Indigo,Winter,4.8,Yes,Next Day Air,Yes,Yes,24,Credit Card,Monthly
25,45000,4.5,12,Male,Jewelry,Accessories,85,Utah,M,Turquoise,Winter,3.0,No,Store Pickup,Yes,Yes,23,Venmo,Fortnightly
25,45000,4.5,12,Male,Jewelry,Accessories,40,Connecticut,M,Black,Winter,4.8,No,Next Day Air,Yes,Yes,25,Cash,Quarterly
25,45000,4.5,12,Male,Sunglasses,Accessories,77,California,L,Lavender,Spring,4.5,No,Store Pickup,Yes,Yes,24,Credit Card,Monthly
25,45000,4.5,12,Male,Backpack,Accessories,94,Wyoming,S,Gray,Fall,4.5,No,2-Day Shipping,Yes,Yes,3,Cash,Annually
25,45000,4.5,12,Male,Scarf,Accessories,95,Texas,M,White,Winter,4.0,No,2-Day Shipping,Yes,Yes,33,Venmo,Monthly
25,45000,4.5,12,Male,Hat,Accessories,80,Illinois,L,Brown,Spring,4.6,No,Standard,Yes,Yes,49,Venmo,Monthly
25,45000,4.5,12,Male,Dress,Clothing,92,Michigan,S,Charcoal,Spring,4.4,No,2-Day Shipping,Yes,Yes,42,Credit Card,Quarterly
25,45000,4.5,12,Male,Blouse,Clothing,23,New Hampshire,S,Pink,Spring,3.0,No,Store Pickup,Yes,Yes,22,Debit Card,Annually
25,45000,4.5,12,Male,Hat,Accessories,38,Arkansas,M,Maroon,Summer,4.3,No,Standard,Yes,Yes,42,Debit Card,Weekly
25,45000,4.5,12,Male,Shorts,Clothing,100,Michigan,M,Charcoal,Summer,2.6,No,2-Day Shipping,Yes,Yes,43,Venmo,Annually
25,45000,4.5,12,Male,Boots,Footwear,48,New Mexico,M,Magenta,Summer,4.8,No,Next Day Air,Yes,Yes,25,Cash,Fortnightly
25,45000,4.5,12,Male,Dress,Clothing,44,Illinois,S,Teal,Winter,3.4,No,Free Shipping,Yes,Yes,25,Cash,Quarterly
25,45000,4.5,12,Male,Sneakers,Footwear,73,Idaho,S,Yellow,Spring,5.0,No,Free Shipping,Yes,Yes,23,Venmo,Every 3 Months
25,45000,4.5,12,Male,Boots,Footwear,77,Oklahoma,M,Purple,Fall,4.0,No,Express,Yes,Yes,21,Bank Transfer,Weekly
25,45000,4.5,12,Male,Hat,Accessories,47,Virginia,M,Charcoal,Winter,3.1,No,2-Day Shipping,Yes,Yes,27,PayPal,Every 3 Months
25,45000,4.5,12,Male,Belt,Accessories,41,Iowa,XL,Turquoise,Winter,4.8,No,Standard,No,No,46,Bank Transfer,Quarterly
25,45000,4.5,12,Male,Shorts,Clothing,81,Nevada,L,Maroon,Fall,4.9,No,2-Day Shipping,No,No,25,Cash,Bi-Weekly
25,45000,4.5,12,Male,Shorts,Clothing,84,Massachusetts,S,Beige,Winter,2.8,No,Express,No,No,40,Debit Card,Bi-Weekly
25,45000,4.5,12,Male,Skirt,Clothing,27,Colorado,L,Black,Fall,4.8,No,Next Day Air,No,No,23,Credit Card,Fortnightly
25,45000,4.5,12,Male,Sandals,Footwear,45,Nebraska,M,Indigo,Summer,3.9,No,2-Day Shipping,No,No,2,PayPal,Every 3 Months
25,45000,4.5,12,Male,Sweater,Clothing,61,Kentucky,M,Teal,Spring,3.8,No,Express,No,No,49,Credit Card,Annually
25,45000,4.5,12,Male,Sandals,Footwear,21,Connecticut,L,Orange,Spring,4.3,No,2-Day Shipping,No,No,39,Debit Card,Monthly
25,45000,4.5,12,Male,Backpack,Accessories,58,Georgia,M,Cyan,Spring,4.9,No,Store Pickup,No,No,39,Debit Card,Fortnightly
25,45000,4.5,12,Male,Sunglasses,Accessories,92,Mississippi,S,Lavender,Summer,3.7,No,Standard,No,No,10,PayPal,Weekly
25,45000,4.5,12,Male,Skirt,Clothing,33,Colorado,XL,Green,Spring,4.8,No,Standard,No,No,3,PayPal,Fortnightly
25,45000,4.5,12,Male,Scarf,Accessories,23,Montana,M,Pink,Spring,4.6,No,Next Day Air,No,No,40,PayPal,Quarterly
25,45000,4.5,12,Male,Backpack,Accessories,68,Arizona,L,Violet,Summer,3.7,No,Free Shipping,No,No,33,Credit Card,Annually
25,45000,4.5,12,Male,Skirt,Clothing,87,Vermont,M,Magenta,Fall,4.7,No,2-Day Shipping,No,No,15,Debit Card,Weekly
25,45000,4.5,12,Male,Dress,Clothing,58,Vermont,M,Gray,Spring,4.8,No,Next Day Air,No,No,31,PayPal,Weekly
25,45000,4.5,12,Male,Sandals,Footwear,96,West Virginia,M,Indigo,Winter,2.7,No,Express,No,No,28,Credit Card,Fortnightly
25,45000,4.5,12,Male,Shorts,Clothing,88,Kansas,XL,White,Fall,3.0,No,Free Shipping,No,No,34,Credit Card,Annually
25,45000,4.5,12,Male,Hat,Accessories,56,Alabama,M,Beige,Summer,4.6,No,Next Day Air,No,No,18,Credit Card,Quarterly
25,45000,4.5,12,Male,Shirt,Clothing,65,Illinois,L,Maroon,Spring,3.4,No,Next Day Air,No,No,24,Bank Transfer,Quarterly
25,45000,4.5,12,Male,Coat,Outerwear,87,Kansas,M,Violet,Spring,3.1,No,Store Pickup,No,No,17,Bank Transfer,Every 3 Months
25,45000,4.5,12,Male,Gloves,Accessories,40,California,L,Turquoise,Spring,3.8,No,2-Day Shipping,No,No,29,PayPal,Weekly
25,45000,4.5,12,Male,Skirt,Clothing,98,Massachusetts,S,Cyan,Spring,3.6,No,Free Shipping,No,No,28,Debit Card,Weekly
25,45000,4.5,12,Male,Hoodie,Clothing,51,Wyoming,M,Silver,Summer,3.8,No,Next Day Air,No,No,42,Credit Card,Bi-Weekly
25,45000,4.5,12,Male,Sunglasses,Accessories,60,Vermont,XL,Olive,Winter,2.7,No,Next Day Air,No,No,20,Bank Transfer,Every 3 Months
25,45000,4.5,12,Male,Pants,Clothing,83,New Mexico,M,Turquoise,Spring,3.3,No,Standard,No,No,4,Bank Transfer,Every 3 Months
25,45000,4.5,12,Female,Skirt,Clothing,98,Nebraska,M,Cyan,Summer,2.8,No,2-Day Shipping,No,No,44,PayPal,Fortnightly
25,45000,4.5,12,Female,Boots,Footwear,96,Utah,M,Violet,Fall,3.6,No,2-Day Shipping,No,No,49,Debit Card,Annually
25,45000,4.5,12,Female,Sneakers,Footwear,92,Mississippi,XL,Pink,Winter,4.1,No,Express,No,No,29,PayPal,Fortnightly
25,45000,4.5,12,Female,Backpack,Accessories,65,South Carolina,XL,Yellow,Winter,3.4,No,Standard,No,No,6,Venmo,Weekly
25,45000,4.5,12,Female,Scarf,Accessories,83,Tennessee,L,Lavender,Fall,2.6,No,Standard,No,No,33,PayPal,Quarterly
25,45000,4.5,12,Female,Jewelry,Accessories,93,Iowa,M,Peach,Spring,3.8,No,Store Pickup,No,No,15,PayPal,Annually
25,45000,4.5,12,Female,Boots,Footwear,65,Indiana,M,Blue,Summer,2.7,No,Store Pickup,No,No,3,Bank Transfer,Fortnightly
25,45000,4.5,12,Female,Boots,Footwear,87,Kansas,M,Beige,Summer,4.2,No,Store Pickup,No,No,30,PayPal,Bi-Weekly
25,45000,4.5,12,Female,Sneakers,Footwear,84,Wyoming,XL,Teal,Fall,3.4,No,2-Day Shipping,No,No,37,Cash,Quarterly
25,45000,4.5,12,Female,Coat,Outerwear,20,Nevada,M,Gold,Winter,3.7,No,Standard,No,No,39,Venmo,Quarterly
25,45000,4.5,12,Female,Sandals,Footwear,53,Alabama,M,Purple,Spring,3.2,No,Store Pickup,No,No,11,Bank Transfer,Every 3 Months
25,45000,4.5,12,Female,Sandals,Footwear,24,West Virginia,L,Beige,Fall,2.9,No,Store Pickup,No,No,39,Bank Transfer,Annually
25,45000,4.5,12,Female,Sneakers,Footwear,50,Georgia,XL,Gray,Winter,4.7,No,Express,No,No,32,Cash,Monthly
25,45000,4.5,12,Female,Blouse,Clothing,97,Washington,S,Charcoal,Spring,4.7,No,Free Shipping,No,No,1,Cash,Weekly
25,45000,4.5,12,Female,Blouse,Clothing,23,Delaware,L,Silver,Spring,4.6,No,Next Day Air,No,No,45,Cash,Quarterly
25,45000,4.5,12,Female,Socks,Clothing,52,Washington,S,Silver,Fall,4.6,No,Store Pickup,No,No,43,PayPal,Quarterly
25,45000,4.5,12,Female,Skirt,Clothing,54,California,XL,Maroon,Spring,4.0,No,2-Day Shipping,No,No,4,Venmo,Annually
25,45000,4.5,12,Female,Socks,Clothing,58,Illinois,M,Maroon,Fall,4.7,No,Next Day Air,No,No,6,Debit Card,Every 3 Months
25,45000,4.5,12,Female,Sweater,Clothing,60,Wisconsin,M,Violet,Summer,3.5,No,Store Pickup,No,No,41,Cash,Quarterly
25,45000,4.5,12,Female,Sneakers,Footwear,60,South Dakota,M,Cyan,Fall,2.9,No,Free Shipping,No,No,30,Debit Card,Annually
25,45000,4.5,12,Female,Shorts,Clothing,42,Nebraska,M,Olive,Spring,4.2,No,Store Pickup,No,No,28,Cash,Every 3 Months
34,55000,7.0,18,Male,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3.0,Yes,Express,Yes,Yes,5,Cash,Fortnightly
34,55000,7.0,18,Male,Sneakers,Footwear,66,Alabama,L,White,Spring,3.4,Yes,Express,Yes,Yes,36,Cash,Fortnightly
34,55000,7.0,18,Male,Backpack,Accessories,38,Georgia,S,Peach,Fall,5.0,Yes,Free Shipping,Yes,Yes,16,Cash,Quarterly
34,55000,7.0,18,Male,Coat,Outerwear,42,West Virginia,L,Olive,Spring,3.9,Yes,Store Pickup,Yes,Yes,29,PayPal,Every 3 Months
34,55000,7.0,18,Male,Hoodie,Clothing,41,West Virginia,L,Indigo,Fall,2.8,Yes,2-Day Shipping,Yes,Yes,19,Debit Card,Bi-Weekly
34,55000,7.0,18,Male,Sneakers,Footwear,88,Maryland,S,Beige,Winter,3.2,Yes,Express,Yes,Yes,40,Cash,Annually
34,55000,7.0,18,Male,Sandals,Footwear,64,Washington,S,Yellow,Summer,3.3,Yes,Standard,Yes,Yes,30,Bank Transfer,Every 3 Months
34,55000,7.0,18,Male,Gloves,Accessories,40,Florida,M,Magenta,Spring,3.9,Yes,Next Day Air,Yes,Yes,12,Bank Transfer,Annually
34,55000,7.0,18,Male,Sunglasses,Accessories,76,Arizona,S,Blue,Winter,2.6,Yes,Standard,Yes,Yes,32,Bank Transfer,Quarterly
34,55000,7.0,18,Male,Hoodie,Clothing,66,Idaho,S,Black,Spring,3.2,Yes,Express,Yes,Yes,18,PayPal,Annually
34,55000,7.0,18,Male,Shirt,Clothing,57,New Hampshire,L,Blue,Spring,2.8,Yes,Express,Yes,Yes,28,Cash,Bi-Weekly
34,55000,7.0,18,Male,Shoes,Footwear,26,New York,M,Turquoise,Spring,3.6,Yes,Free Shipping,Yes,Yes,38,Cash,Quarterly
34,55000,7.0,18,Male,Sneakers,Footwear,45,New Jersey,M,Violet,Spring,4.2,Yes,Next Day Air,Yes,Yes,45,Venmo,Weekly
34,55000,7.0,18,Male,Dress,Clothing,60,Florida,L,Yellow,Spring,4.2,Yes,Next Day Air,Yes,Yes,23,Debit Card,Every 3 Months
34,55000,7.0,18,Male,T-shirt,Clothing,90,Florida,M,Gray,Fall,3.6,Yes,Express,Yes,Yes,50,Credit Card,Every 3 Months
34,55000,7.0,18,Male,Hat,Accessories,28,Wyoming,M,Violet,Spring,3.5,No,Express,Yes,Yes,42,Credit Card,Every 3 Months
34,55000,7.0,18,Male,T-shirt,Clothing,36,Arkansas,S,Purple,Fall,4.1,No,Next Day Air,Yes,Yes,48,Cash,Quarterly
34,55000,7.0,18,Male,Jewelry,Accessories,36,Louisiana,M,Indigo,Spring,3.1,No,Standard,Yes,Yes,36,Credit Card,Weekly
34,55000,7.0,18,Male,Pants,Clothing,66,Florida,M,Violet,Spring,2.6,No,Store Pickup,Yes,Yes,10,PayPal,Fortnightly
34,55000,7.0,18,Male,T-shirt,Clothing,70,Indiana,L,Charcoal,Winter,4.1,No,Free Shipping,Yes,Yes,50,Venmo,Quarterly
34,55000,7.0,18,Male,Sunglasses,Accessories,78,Missouri,M,Olive,Fall,4.1,No,Next Day Air,Yes,Yes,5,Cash,Quarterly
34,55000,7.0,18,Male,Jewelry,Accessories,52,Kansas,XL,Maroon,Winter,3.6,No,Express,Yes,Yes,39,Bank Transfer,Annually
34,55000,7.0,18,Male,Blouse,Clothing,32,New York,L,Silver,Summer,3.1,No,Next Day Air,Yes,Yes,10,Credit Card,Annually
34,55000,7.0,18,Male,Backpack,Accessories,50,Idaho,M,Blue,Spring,4.2,No,Standard,Yes,Yes,41,Cash,Fortnightly
34,55000,7.0,18,Male,Hat,Accessories,33,Florida,L,Black,Winter,4.4,No,Express,Yes,Yes,32,Debit Card,Quarterly
34,55000,7.0,18,Male,Pants,Clothing,25,Nebraska,S,Turquoise,Summer,3.4,No,Free Shipping,Yes,Yes,3,Venmo,Every 3 Months
34,55000,7.0,18,Male,Dress,Clothing,91,Georgia,M,Violet,Winter,3.6,No,Express,Yes,Yes,48,Credit Card,Weekly
34,55000,7.0,18,Male,Backpack,Accessories,35,Wisconsin,S,Magenta,Spring,3.5,No,Standard,Yes,Yes,45,Debit Card,Fortnightly
34,55000,7.0,18,Male,Skirt,Clothing,45,Minnesota,L,Beige,Winter,3.0,No,Next Day Air,Yes,Yes,3,PayPal,Bi-Weekly
34,55000,7.0,18,Male,Boots,Footwear,78,Hawaii,M,Purple,Summer,4.9,No,Store Pickup,Yes,Yes,8,Debit Card,Quarterly
34,55000,7.0,18,Male,Jewelry,Accessories,28,Delaware,S,Magenta,Spring,4.3,No,Free Shipping,No,No,24,Credit Card,Monthly
34,55000,7.0,18,Male,Skirt,Clothing,93,Montana,L,Teal,Winter,3.9,No,2-Day Shipping,No,No,41,Bank Transfer,Annually
34,55000,7.0,18,Male,Boots,Footwear,29,South Dakota,L,Blue,Winter,3.3,No,Store Pickup,No,No,14,Venmo,Quarterly
34,55000,7.0,18,Male,Sneakers,Footwear,46,Vermont,L,Gold,Summer,3.5,No,Standard,No,No,37,Venmo,Fortnightly
34,55000,7.0,18,Male,Jewelry,Accessories,53,Louisiana,M,Yellow,Spring,4.5,No,2-Day Shipping,No,No,19,PayPal,Fortnightly
34,55000,7.0,18,Male,Socks,Clothing,29,Oklahoma,L,Magenta,Summer,3.4,No,Store Pickup,No,No,5,Credit Card,Monthly
34,55000,7.0,18,Male,Blouse,Clothing,33,New Jersey,L,Yellow,Fall,3.1,No,2-Day Shipping,No,No,8,Debit Card,Monthly
34,55000,7.0,18,Male,Backpack,Accessories,56,Virginia,M,Olive,Summer,3.1,No,Express,No,No,20,PayPal,Bi-Weekly
34,55000,7.0,18,Male,Jacket,Outerwear,43,Michigan,L,Gold,Winter,2.7,No,Free Shipping,No,No,23,Bank Transfer,Annually
34,55000,7.0,18,Male,Sunglasses,Accessories,94,California,S,Yellow,Winter,4.6,No,Next Day Air,No,No,1,Debit Card,Every 3 Months
34,55000,7.0,18,Male,Jacket,Outerwear,49,Utah,M,Beige,Fall,4.1,No,Store Pickup,No,No,1,Credit Card,Weekly
34,55000,7.0,18,Male,Jewelry,Accessories,37,Florida,L,Teal,Summer,4.4,No,Next Day Air,No,No,18,Venmo,Annually
34,55000,7.0,18,Male,Belt,Accessories,100,Michigan,L,Pink,Summer,4.6,No,2-Day Shipping,No,No,38,PayPal,Every 3 Months
34,55000,7.0,18,Male,Sandals,Footwear,92,Rhode Island,XL,Lavender,Fall,3.5,No,Express,No,No,14,Venmo,Bi-Weekly
34,55000,7.0,18,Male,Hoodie,Clothing,73,Alabama,S,Olive,Fall,3.4,No,Express,No,No,27,Bank Transfer,Every 3 Months
34,55000,7.0,18,Male,Gloves,Accessories,62,Tennessee,M,Magenta,Spring,4.7,No,Next Day Air,No,No,48,Bank Transfer,Monthly
34,55000,7.0,18,Female,Socks,Clothing,63,Maine,M,Black,Spring,4.5,No,Free Shipping,No,No,24,Debit Card,Annually
34,55000,7.0,18,Female,Hoodie,Clothing,53,Virginia,L,Pink,Winter,5.0,No,Express,No,No,4,Credit Card,Weekly
34,55000,7.0,18,Female,Jeans,Clothing,87,Maryland,L,Teal,Summer,3.8,No,2-Day Shipping,No,No,46,Bank Transfer,Monthly
34,55000,7.0,18,Female,Sneakers,Footwear,36,Indiana,L,Silver,Summer,3.4,No,Free Shipping,No,No,40,Venmo,Annually
34,55000,7.0,18,Female,Dress,Clothing,64,Arkansas,M,Teal,Spring,3.3,No,Store Pickup,No,No,35,Bank Transfer,Quarterly
34,55000,7.0,18,Female,Jacket,Outerwear,59,North Dakota,M,Peach,Fall,2.9,No,Store Pickup,No,No,11,Bank Transfer,Every 3 Months
34,55000,7.0,18,Female,Coat,Outerwear,44,Louisiana,M,Turquoise,Spring,2.7,No,2-Day Shipping,No,No,14,Bank Transfer,Monthly
34,55000,7.0,18,Female,Gloves,Accessories,44,Alaska,XL,Peach,Summer,4.6,No,Free Shipping,No,No,37,Bank Transfer,Weekly
34,55000,7.0,18,Female,Coat,Outerwear,90,Rhode Island,M,Magenta,Summer,2.7,No,Free Shipping,No,No,10,PayPal,Every 3 Months
34,55000,7.0,18,Female,Hoodie,Clothing,41,Nebraska,L,Cyan,Summer,4.9,No,Standard,No,No,31,PayPal,Bi-Weekly
34,55000,7.0,18,Female,Backpack,Accessories,54,New Jersey,M,Gray,Winter,3.8,No,Express,No,No,1,Debit Card,Bi-Weekly
34,55000,7.0,18,Female,Sweater,Clothing,35,Nebraska,M,Maroon,Spring,2.8,No,Express,No,No,2,Bank Transfer,Weekly
34,55000,7.0,18,Female,T-shirt,Clothing,62,Michigan,M,Lavender,Fall,2.6,No,2-Day Shipping,No,No,36,Cash,Quarterly
34,55000,7.0,18,Female,Gloves,Accessories,90,Delaware,XL,Black,Winter,2.5,No,Express,No,No,16,PayPal,Bi-Weekly
34,55000,7.0,18,Female,Boots,Footwear,56,South Carolina,S,White,Summer,4.0,No,Free Shipping,No,No,38,PayPal,Bi-Weekly
34,55000,7.0,18,Female,Scarf,Accessories,66,Arizona,L,Olive,Fall,4.8,No,Standard,No,No,19,Credit Card,Every 3 Months
34,55000,7.0,18,Female,T-shirt,Clothing,47,North Carolina,M,Indigo,Summer,3.0,No,Next Day Air,No,No,3,PayPal,Monthly
34,55000,7.0,18,Female,Shirt,Clothing,44,Arkansas,L,Lavender,Summer,2.9,No,Next Day Air,No,No,28,Bank Transfer,Every 3 Months
34,55000,7.0,18,Female,Shorts,Clothing,45,Delaware,M,Brown,Spring,2.7,No,Free Shipping,No,No,48,Cash,Fortnightly
34,55000,7.0,18,Female,Backpack,Accessories,25,Delaware,M,Violet,Fall,3.9,No,2-Day Shipping,No,No,3,Venmo,Annually
34,55000,7.0,18,Female,Belt,Accessories,65,New Hampshire,M,Purple,Winter,5.0,No,Standard,No,No,34,Debit Card,Quarterly
34,55000,7.0,18,Female,Hat,Accessories,38,North Dakota,XL,Purple,Fall,4.0,No,Next Day Air,No,No,22,Cash,Fortnightly
45,65000,8.0,22,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
45,65000,8.0,22,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
45,65000,8.0,22,Male,Jacket,Outerwear,22,Vermont,L,Teal,Fall,3.0,Yes,2-Day Shipping,Yes,Yes,6,PayPal,Fortnightly
45,65000,8.0,22,Male,Sandals,Footwear,69,Montana,S,Cyan,Fall,4.2,Yes,2-Day Shipping,Yes,Yes,21,Cash,Bi-Weekly
45,65000,8.0,22,Male,Backpack,Accessories,67,South Dakota,M,Beige,Winter,2.5,Yes,Standard,Yes,Yes,10,Cash,Annually
45,65000,8.0,22,Male,Coat,Outerwear,93,Georgia,L,Silver,Summer,4.6,Yes,Store Pickup,Yes,Yes,38,PayPal,Fortnightly
45,65000,8.0,22,Male,Hoodie,Clothing,76,North Carolina,XL,Teal,Spring,3.1,Yes,Next Day Air,Yes,Yes,5,Credit Card,Bi-Weekly
45,65000,8.0,22,Male,Jewelry,Accessories,50,New Mexico,M,Peach,Summer,2.6,Yes,Next Day Air,Yes,Yes,41,PayPal,Annually
45,65000,8.0,22,Male,Pants,Clothing,45,Missouri,M,Violet,Summer,3.3,Yes,Express,Yes,Yes,39,PayPal,Fortnightly
45,65000,8.0,22,Male,Hoodie,Clothing,20,Wisconsin,S,Blue,Winter,4.9,Yes,2-Day Shipping,Yes,Yes,9,Venmo,Annually
45,65000,8.0,22,Male,Dress,Clothing,36,Rhode Island,L,Cyan,Fall,2.7,Yes,2-Day Shipping,Yes,Yes,20,Debit Card,Bi-Weekly
45,65000,8.0,22,Male,Belt,Accessories,46,New Mexico,M,Pink,Fall,3.9,Yes,Standard,Yes,Yes,43,Debit Card,Fortnightly
45,65000,8.0,22,Male,Jeans,Clothing,47,Oregon,S,Yellow,Spring,3.7,Yes,Express,Yes,Yes,21,Bank Transfer,Monthly
45,65000,8.0,22,Male,Jeans,Clothing,66,California,S,Maroon,Winter,4.4,Yes,Free Shipping,Yes,Yes,4,Cash,Monthly
45,65000,8.0,22,Male,Hoodie,Clothing,36,Nebraska,S,Lavender,Summer,3.7,Yes,Standard,Yes,Yes,4,Cash,Fortnightly
45,65000,8.0,22,Male,Sunglasses,Accessories,33,Virginia,S,Purple,Fall,2.8,Yes,Store Pickup,Yes,Yes,24,Cash,Quarterly
45,65000,8.0,22,Male,Socks,Clothing,53,Ohio,M,Indigo,Fall,2.6,Yes,Free Shipping,Yes,Yes,39,PayPal,Annually
45,65000,8.0,22,Male,Jeans,Clothing,71,West Virginia,S,White,Winter,3.4,No,Next Day Air,Yes,Yes,7,Bank Transfer,Monthly
45,65000,8.0,22,Male,Coat,Outerwear,48,West Virginia,S,Olive,Winter,3.6,No,Express,Yes,Yes,4,Cash,Fortnightly
45,65000,8.0,22,Male,Belt,Accessories,40,Iowa,M,Magenta,Fall,3.1,No,Free Shipping,Yes,Yes,10,Credit Card,Fortnightly
45,65000,8.0,22,Male,Scarf,Accessories,95,Oregon,XL,Black,Fall,4.0,No,Standard,Yes,Yes,41,Cash,Weekly
45,65000,8.0,22,Male,Jewelry,Accessories,23,Rhode Island,M,Brown,Winter,4.5,No,Next Day Air,Yes,Yes,6,PayPal,Weekly
45,65000,8.0,22,Male,Dress,Clothing,64,Massachusetts,S,Teal,Winter,3.1,No,Next Day Air,Yes,Yes,7,Cash,Monthly
45,65000,8.0,22,Male,Skirt,Clothing,83,Indiana,M,Pink,Winter,3.8,No,Standard,No,No,19,Bank Transfer,Annually
45,65000,8.0,22,Male,Sweater,Clothing,39,Maryland,M,White,Winter,3.2,No,Free Shipping,No,No,8,Venmo,Quarterly
45,65000,8.0,22,Male,Sunglasses,Accessories,33,Massachusetts,M,Indigo,Spring,3.0,No,Next Day Air,No,No,32,Venmo,Quarterly
45,65000,8.0,22,Male,Belt,Accessories,50,Rhode Island,S,Charcoal,Winter,2.6,No,Free Shipping,No,No,36,Cash,Every 3 Months
45,65000,8.0,22,Male,Jacket,Outerwear,34,Maryland,M,Brown,Spring,4.6,No,2-Day Shipping,No,No,22,Venmo,Monthly
45,65000,8.0,22,Male,T-shirt,Clothing,60,Indiana,M,Turquoise,Winter,4.2,No,Express,No,No,44,Debit Card,Annually
45,65000,8.0,22,Male,Skirt,Clothing,52,Delaware,M,Brown,Fall,3.4,No,2-Day Shipping,No,No,20,Venmo,Quarterly
45,65000,8.0,22,Male,Sunglasses,Accessories,78,Massachusetts,L,Magenta,Spring,3.8,No,Store Pickup,No,No,1,Cash,Quarterly
45,65000,8.0,22,Male,Sneakers,Footwear,64,Michigan,XL,Pink,Winter,3.9,No,Express,No,No,35,Bank Transfer,Quarterly
